match_name	cluster_ID	EO_mean	log2_EO_vs_muscle
MYOM3	1.0	3.766666666666667	-8.300840515362822
vmhcl	1.0	0.6666666666666666	-8.325080543554284
DUSP27	1.0	19.2	-8.328763783747462
asb12b	1.0	5.033333333333333	-8.380383329325674
MYOM1	1.0	79.46666666666667	-8.39334157926348
asb2a	1.0	3.9333333333333336	-8.425867981679806
tpma	1.0	535.9333333333334	-8.509055365197133
ahsa1	1.0	4.533333333333334	-8.526204601120451
cacna1sa	1.0	2.566666666666667	-8.569287785814167
murc	1.0	13.966666666666667	-8.596812321267905
ckmt2	1.0	46.96666666666666	-8.62410638312744
cacna1sb	1.0	9.266666666666667	-8.679297294761044
tnnc1b	1.0	153.3	-8.693636006741748
desmb	1.0	343.3666666666666	-8.717159204574568
fhl2b	1.0	92.13333333333333	-8.726413227023617
kbtbd12	1.0	9.066666666666668	-8.7414558248255
osbpl1a	1.0	3.3333333333333335	-8.766860143829545
myl10	1.0	1499.5999999999997	-8.885397145977608
mybpc2b	1.0	8.333333333333334	-8.949472401537
rpl3	1.0	411.43333333333334	-9.005219340410946
best2	1.0	15.4	-9.021301638354267
mybpc1	1.0	210.16666666666666	-9.039010339782294
tpm3	1.0	702.6333333333333	-9.081528632777827
ankrd1a	1.0	34.666666666666664	-9.084309202120341
smyd1b	1.0	65.46666666666667	-9.095124520416093
LRRC14B	1.0	68.46666666666667	-9.098136930580619
gyg2	1.0	18.0	-9.174649781090045
acta1a	1.0	1788.7333333333333	-9.195553329640706
mylz3	1.0	1537.8999999999999	-9.208477861893362
lmod2b	1.0	27.900000000000002	-9.209166633035164
synpo2b	1.0	8.733333333333333	-9.225455071651346
hspb7	1.0	21.433333333333334	-9.354011903840675
ckbb	1.0	1.9666666666666668	-9.373671669981361
myoz2b	1.0	35.800000000000004	-9.383023349512658
atp2a1l	1.0	450.03333333333336	-9.507531577547804
hspb9	1.0	91.33333333333333	-9.536076752642945
MYO18B	1.0	48.56666666666667	-9.705483653637721
pdlim3b	1.0	112.2	-9.900070713946294
tnnt2e	1.0	12.433333333333335	-10.269767667482604
MYL4	1.0	114.96666666666665	-10.397654036797453
atp2a1	1.0	4.433333333333334	-10.40174986029869
mylpfa	1.0	387.8333333333333	-10.504976193016562
scn4aa	9.0	31559.86666666667	11.372959533670821
atp1a2a	9.0	102311.16666666667	10.978704348723326
PCDH20	9.0	2844.566666666667	10.88953776363735
ERP27	9.0	1429.0666666666666	10.481866688608068
sh2d5	9.0	607.3000000000001	9.248639193984642
calm1b	9.0	323836.13333333336	9.134483048360273
MYL3	9.0	1047.8666666666666	8.498562676669989
mcf2a	9.0	1477.9333333333332	8.32870744426131
grin2ab	9.0	201.5	7.661778097771987
hoxc13a	9.0	198.4666666666667	7.640003864279119
EGR3	9.0	41415.46666666667	7.599824599129289
gdnfa	9.0	873.1999999999999	7.421322320814173
ndrg1a	9.0	189280.36666666667	7.330500525107315
C12H10orf90	9.0	1130.8999999999999	6.851749041416057
ank3a	9.0	7530.899999999999	6.830038818357967
foxd2	9.0	16967.633333333335	6.820802586617098
slc4a4a	9.0	1428.5666666666668	6.769867278447417
apbb2b	9.0	18380.533333333333	6.650269658280204
LRRC53	9.0	97.2	6.617651119427331
ank3	9.0	2554.9666666666667	6.456706058314072
znrf2a	9.0	10517.633333333333	6.3471973898383505
atp1b1a	9.0	55706.799999999996	6.334930099324843
tcf4	9.0	2454.833333333333	6.230778208679486
specc1	9.0	11561.633333333331	6.221989047663626
cpm	9.0	13111.666666666666	6.174847751640923
clcn1a	9.0	90361.09999999999	6.125028049871673
arl13a	9.0	366.73333333333335	6.089556738629356
scn4ab	9.0	979.5000000000001	5.983177509805274
gprc5c	9.0	2570.7	5.6817679421788165
klc3	9.0	69.63333333333333	5.464205371651014
xpnpep2	9.0	1269.2333333333333	5.319922958996985
ctsd	9.0	38.53333333333333	5.304997698937485
epha7	9.0	530.9666666666667	5.300304536079576
six2a	9.0	8695.8	5.211594909921735
strbpa	9.0	1610.1666666666667	5.165246485740714
slc4a4b	9.0	1703.4333333333334	5.138141313738435
slc8a3	9.0	5811.033333333333	4.896018019165299
dusp2	9.0	1306.6333333333334	4.886767879082591
enpp6	9.0	2287.3666666666663	4.641252690675293
arhgef12a	9.0	6041.966666666667	4.619113344028461
midn	9.0	7443.033333333333	4.618218758361946
prodha	9.0	20700.566666666666	4.595985346220887
trib3	9.0	11775.566666666666	4.326414684441574
ar	9.0	3380.433333333333	4.2730327162073465
C2H14orf164	9.0	890.2666666666668	4.147226845030227
FOXJ3	9.0	2792.933333333333	4.12435154383054
ache	9.0	25947.5	4.0455287727609965
hfe2	9.0	2358.6	3.9226283488424083
gyltl1b	9.0	3933.6333333333337	3.922422754215119
calhm1	9.0	137.6	3.750211014953995
dok7	9.0	2843.133333333333	3.6819593137704585
fgf4	9.0	114.03333333333335	3.453590740048237
tnfaip2a	9.0	7103.966666666667	3.3272104004595553
bmpr1ba	9.0	2550.7999999999997	3.2811259329060722
prrg4	9.0	2460.3666666666663	3.1841599462282066
megf10	9.0	2123.5333333333333	3.0877231727728933
mbnl3	9.0	30797.333333333332	3.020414404923198
ankrd28b	9.0	13060.700000000003	2.995599670014301
lbx2	9.0	263.6666666666667	2.990582424237902
agt	9.0	287.6333333333333	2.9675452002524216
susd5	9.0	474.4666666666667	2.8686147537382034
auts2	9.0	4272.666666666667	2.866009513308545
erbb3a	9.0	215.03333333333333	2.7327423100815076
fgf2	9.0	2274.3333333333335	2.6903827510915534
ftr14	9.0	474.73333333333335	2.640398152364618
camk2b1	9.0	9288.433333333332	2.544116045854535
LURAP1	9.0	346.8	2.4809538642825855
helt	9.0	165.73333333333332	2.4793251672617087
SYDE2	9.0	1522.2666666666667	2.4055346643723796
rnf24	9.0	5274.400000000001	2.322584586517919
tgm2a	9.0	577.5	2.280143546130738
CARD10	9.0	198.23333333333335	2.2737427995212305
wbp1lb	9.0	2656.866666666667	2.254001569792679
depdc7	9.0	1177.0	2.1769842615519526
gltpd2	9.0	169.03333333333333	2.169359460454714
raf1a	9.0	6034.066666666666	2.0523505547378993
ctdsplb	9.0	5551.566666666667	1.9866978537670552
similar to hypothetical protein GW7_08407 [Heterocephalus glaber]	9.0	43.5	1.9272968062703557
mef2cb	9.0	15427.4	1.8762000733487167
chad	9.0	80.76666666666667	1.7565057805618514
egr2b	9.0	3970.8000000000006	1.6640611866599597
fgfbp1	9.0	193.79999999999998	1.028421039159231
